,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,414.371,550.05,2024.184,,59535.39657,11.001,48815.104,,,36.67,88202.351,30821.135,,,91000.272,161.348,44.004,,22295.36,575.719,410.704,,,44.004,157.681,1004.758,46908.264,172.349,333.697,,,88.008,192895.201,466533.4096,19523.108,,13490.893,780726.302,462.042,271.358,2321.211,223.687,16409.825,11.001,22.002,491.378,5878.201,13699.912,,11.001,887.414,,,40.337,11.001,29779.707,1041.428,6160.56,852797.3247,582183.3655,1210071.825,,,1763.827,16054.126,,,48928.781,,352.032,2359594.886,33985.80584,15104.373,194.351,271218.654,58.672,,132.012,584299.78,,1463.133,47.671,410.704,18.335,18.335,22.002,9405.855,22.002,223.687,1345.789,,660.06,5713366.066,2955.602,616.056,19753.66547,,286.026,45371.791,2555222.28,2646764.144,85283.54624,46104.28094
1961,491.378,454.708,2280.874,,65119.82117,11.001,51180.319,,,47.671,90589.568,31862.563,,,92793.435,128.345,91.675,,25973.361,1771.161,546.383,,,36.67,176.016,1041.428,49203.806,194.351,304.361,,,88.008,194182.318,491649.8461,20388.52,,14473.649,552066.85,553.717,282.359,2357.881,267.691,18217.656,11.001,22.002,491.378,8804.467,12181.774,,11.001,865.412,,,44.004,11.001,31734.218,1030.427,6065.218,623027.4699,606142.9381,1041180.505,,,1646.483,17088.22,,,53677.546,,341.031,2445945.664,35050.01654,14939.358,168.682,281211.229,113.677,,165.015,588938.535,,1345.789,51.338,616.056,22.002,29.336,22.002,9823.893,18.335,293.36,1408.128,,737.067,5838410.405,3373.64,737.067,20809.07057,,297.027,48976.452,2274746.851,2365642.325,87030.78015,48872.21073
1962,689.396,1180.774,2464.224,,74322.01361,18.335,53695.881,,,102.676,94912.961,33905.082,,44.004,98117.919,135.679,84.341,,30736.794,1591.478,726.066,,,69.673,157.681,1100.1,53695.881,260.357,370.367,,,73.34,207185.5,526298.9059,24154.529,,16725.187,440359.029,586.72,289.693,2174.531,238.355,19442.434,11.001,18.335,550.05,11771.07,14169.288,,11.001,905.749,,,47.671,11.001,36926.69,1243.113,5669.182,509627.2828,641190.7884,948555.1623,,,1565.809,18595.357,,,60054.459,,396.036,2587255.911,36966.84797,16809.528,231.021,298706.486,117.344,,88.008,593360.937,,1433.797,55.005,660.06,25.669,40.337,22.002,10164.924,25.669,264.024,1382.459,,678.395,6109990.312,3685.335,700.397,20844.25074,,304.361,50560.596,2200051.065,2296576.156,94349.5182,53761.71306
1963,707.731,1151.438,2082.856,,87853.78623,22.002,50083.886,,,84.341,101029.517,36992.696,,47.671,105781.949,121.011,88.008,,34411.128,1195.442,707.731,,,62.339,150.347,1213.777,55617.389,190.684,355.699,,,73.34,211109.19,569115.7392,29104.979,,17355.911,436695.696,623.39,300.694,2295.542,234.688,21257.599,11.001,14.668,601.388,5984.544,13039.852,,11.001,986.423,,,66.006,14.668,40707.367,1250.447,5427.16,506657.0519,671869.7177,991794.6225,,,1796.83,21554.626,,,58822.347,,421.705,2763661.258,37422.80398,19358.093,242.022,334019.696,124.678,,73.34,603822.888,,1723.49,55.005,696.73,29.336,47.671,25.669,12258.781,14.668,330.03,1521.805,,616.056,6452882.159,4250.053,711.398,22041.74242,,249.356,56281.116,2270760.778,2373491.276,101042.0511,61046.53924
1964,839.743,1224.778,2016.85,,103146.744,18.335,55727.399,,,91.675,108979.573,38943.54,,47.671,103662.423,143.013,110.01,,42863.563,1598.812,1085.432,,,84.341,201.685,1481.468,56735.824,179.683,341.031,,,73.34,237801.283,611356.7764,28166.227,,17524.593,436923.05,762.736,337.364,1976.513,267.691,21708.64,11.001,29.336,674.728,10652.635,14293.966,,11.001,1001.091,,,84.341,14.668,43189.926,1749.159,5650.847,513528.312,716683.6045,1046001.613,,,2145.195,25522.32,,,64410.855,,407.037,2879590.411,39474.60599,22852.744,425.372,345303.055,121.011,,190.684,608355.3,,1650.15,55.005,700.397,29.336,58.672,25.669,13223.202,22.002,315.362,1771.161,,649.059,6782010.521,4224.384,722.399,23976.15205,,300.694,62401.339,2382070.073,2495119.877,112227.1035,67578.54936
1965,1008.425,1188.108,2174.531,,123768.7553,22.002,58866.351,,,150.347,120966.996,38188.138,,36.67,105440.918,150.347,102.676,,46317.877,1228.445,1316.453,,,84.341,179.683,1510.804,56398.46,205.352,333.697,,,88.008,252153.921,630347.3828,30370.094,,17766.615,475972.933,1173.44,311.695,2471.558,245.689,22885.747,14.668,25.669,847.077,11917.75,14609.328,,11.001,1151.438,,,121.011,14.668,44337.697,1547.474,6596.933,558536.9528,768296.144,1134631.207,,,2277.207,27641.846,,,71117.798,,645.392,2977005.808,52451.8305,25327.969,344.698,351852.317,135.679,,216.353,622619.93,,1705.155,47.671,696.73,29.336,66.006,29.336,17025.881,22.002,344.698,1976.513,,1078.098,7081545.937,4807.437,751.735,28009.34973,,304.361,61293.905,2555483.97,2682994.297,126934.5792,77835.35105
1966,1092.766,1554.808,2552.232,,139012.3876,25.669,63138.406,,,348.365,120332.605,39258.902,,47.671,105206.23,113.677,102.676,,48767.433,649.059,1092.766,,,80.674,201.685,1690.487,64304.512,267.691,491.378,,,84.341,259319.239,650420.2725,31528.866,,18793.375,522789.522,1294.451,344.698,2405.552,308.028,23501.803,18.335,22.002,993.757,11756.402,15185.047,,18.335,1243.113,,,139.346,14.668,50127.89,1672.152,8430.433,616280.8899,807440.4858,1230384.455,,,2420.22,26563.748,,,77729.399,,825.075,3066068.197,65592.31442,29519.35,322.696,347235.564,139.346,,381.368,618564.228,,1441.131,55.005,718.732,33.003,66.006,25.669,18650.362,29.336,388.702,1741.825,,1180.774,7391949.92,5166.803,806.74,29217.45041,,304.361,61733.945,2738793.254,2873778.042,134285.3931,82689.61313
1967,1283.45,993.757,2680.577,,149659.0833,916.75,65543.958,,,564.718,129265.417,39966.633,,47.671,107472.436,143.013,102.676,,55166.348,1004.758,1705.155,,,121.011,212.686,1892.172,66193.017,337.364,440.04,,,91.675,281896.958,676656.3124,32562.96,,19259.084,433234.048,1488.802,458.375,2291.875,322.696,24715.58,18.335,18.335,876.413,14026.275,15749.765,,14.668,1364.124,,,88.008,22.002,49075.461,1569.476,8441.434,535188.9096,877563.9495,1241556.911,,,2592.569,19677.122,,,86519.198,,1074.431,3135494.784,72434.02261,28617.268,355.699,372009.816,168.682,,1012.092,592517.527,,1496.136,62.339,726.066,33.003,47.671,25.669,19534.109,36.67,418.038,1983.847,,1323.787,7720671.805,6057.884,876.413,31838.09959,,260.357,58829.681,2706611.006,2846524.017,139542.6577,84361.19098
1968,1224.778,1672.152,3072.946,,178719.2064,1243.113,69082.613,,,990.09,134622.904,42350.183,,55.005,118557.777,154.014,102.676,,59526.411,1103.767,1631.815,,,102.676,223.687,2178.198,77421.371,440.04,429.039,,,183.35,303539.592,722506.7378,36028.275,,21224.596,468928.626,1763.827,506.046,3369.973,451.041,26604.085,18.335,29.336,1037.761,14026.275,16035.791,,22.002,1624.481,,,121.011,22.002,53325.514,2350.547,9061.157,584688.5773,972043.8926,1376913.792,,,3116.95,22904.082,,,97157.165,,1727.157,3317198.681,99440.16596,33314.695,396.036,384631.63,183.35,,1961.845,606969.174,,1763.827,66.006,748.068,36.67,62.339,29.336,22321.029,40.337,542.716,2141.528,,1331.121,8131701.254,6204.564,1224.778,35599.93926,,264.024,61154.559,2949009.099,3106707.99,157554.1985,82168.08084
1969,942.419,2786.92,3245.295,,213029.3024,20524.199,77329.696,,,1257.781,142257.598,44693.396,,73.34,123618.237,201.685,121.011,,66376.367,1272.449,1745.492,,,135.679,198.018,2548.565,84315.331,480.377,487.711,,,187.017,307400.943,776524.9366,38096.463,,22555.717,577237.138,2086.523,572.052,3652.332,502.379,28048.883,18.335,36.67,1147.771,14869.685,17260.569,,44.004,1672.152,,,84.341,18.335,59401.733,2654.908,11276.025,705613.3561,1021630.592,1608550.078,,,3593.66,19695.457,,,96882.14,,1668.485,3520600.659,106038.8834,37935.115,432.706,413259.899,212.686,,1433.797,628857.497,,1690.487,66.006,748.068,47.671,58.672,44.004,25474.649,47.671,407.037,2280.874,,1367.791,8656315.636,7759.372,1177.107,39848.73644,,315.362,62419.674,3262665.105,3429130.345,165910.8517,92866.17909
1970,1672.152,3582.659,3744.007,,220469.5157,15247.386,82734.854,,,462.042,147618.752,50692.608,,62.339,125620.419,282.359,143.013,,61238.9,2592.569,2574.234,,,121.011,227.354,2486.226,93761.523,429.039,8210.413,3.667,,209.019,341485.708,808071.0956,40296.663,,24664.242,771617.474,2442.222,638.058,2713.58,572.052,28404.582,29.336,36.67,1250.447,20960.572,18672.364,,36.67,1705.155,,,139.346,25.669,62100.645,3109.616,15075.037,914610.6922,1098450.154,1971531.759,,,4283.056,21686.638,,,116929.629,,1653.817,3753440.756,104934.0348,40395.672,520.714,439013.24,256.69,,2082.856,653063.364,,2625.572,69.673,792.072,47.671,69.673,36.67,24165.53,44.004,381.368,2299.209,,1580.477,9411515.013,8401.097,1389.793,43201.68049,,385.035,70003.03,3699735.502,3887900.851,187507.1569,114142.022
1971,1895.839,3410.31,4352.729,,250795.3555,21184.259,88939.418,,,425.372,152774.554,52155.741,,73.34,121528.047,293.36,150.347,,64300.845,3039.943,6732.612,,,143.013,231.021,3061.945,102635.663,484.044,7517.35,3.667,,183.35,352607.719,832585.0788,41943.146,,27095.463,876633.02,2706.246,810.407,2962.936,685.729,30326.09,29.336,36.67,1529.139,25060.278,19607.449,,44.004,1884.838,,,161.348,25.669,57062.187,3523.987,18668.697,1029392.067,1171859.551,2127031.634,,,4224.384,23047.095,,,128682.364,,1851.835,3846741.985,105287.1308,40582.689,550.05,462434.369,260.357,,2845.592,660863.073,,2295.542,80.674,814.074,55.005,73.34,66.006,27814.195,47.671,469.376,2442.222,,1499.803,9601897.38,9160.166,1331.121,46402.218,,403.37,69280.631,4001888.369,4213158.885,210985.7546,134749.2337
1972,1532.806,4506.743,5643.513,,272741.7835,23454.132,90156.862,,,374.034,157486.649,56193.108,,73.34,130834.893,388.702,161.348,3509.319,66171.015,3681.668,6490.59,,,157.681,253.023,3571.658,114362.729,502.379,9460.86,3.667,22.002,168.682,381136.979,869398.7052,42973.573,,28191.896,931575.681,3014.274,861.745,3021.608,663.727,31481.195,29.336,51.338,1763.827,25580.992,20799.224,,55.005,2405.552,,,190.684,25.669,59643.755,4675.425,28349.577,1091262.418,1224906.055,2264146.34,,,4594.751,25511.319,,,145026.183,,1408.128,3999496.06,98005.00186,44161.681,579.386,480729.032,234.688,,2739.249,648486.948,,2423.887,73.34,832.409,66.006,66.006,88.008,31572.87,47.671,553.717,2709.913,,1562.142,10084808.61,9284.844,1536.473,47573.14636,,392.369,69430.978,4222674.321,4441075.289,217850.7881,144678.4062
1973,1639.149,4880.777,5291.481,,318446.9991,30630.451,94065.884,,,330.03,170992.21,60164.469,,73.34,138872.957,381.368,168.682,4554.414,68825.923,5522.502,7873.049,,,146.68,425.372,3457.981,132463.041,480.377,9981.574,3.667,51.338,161.348,381621.023,905753.8274,46262.872,,27652.847,968542.708,3208.625,898.415,3193.957,1221.111,33699.73,29.336,62.339,2046.186,30670.788,22398.036,,58.672,2500.894,,,179.683,25.669,59266.054,5966.209,38312.816,1143764.001,1347948.991,2412761.036,,,5262.145,23795.163,,,155367.123,,1752.826,4203895.412,103271.0669,49387.156,630.724,516599.626,253.023,,5313.483,660034.331,,2475.225,84.341,803.073,62.339,110.01,29.336,37256.72,55.005,557.384,2937.267,,1804.164,10612161.65,9295.845,1510.804,51041.32463,,421.705,73068.642,4483611.171,4726698.514,242838.7502,165298.9905
1974,1917.841,4873.443,4345.395,,310771.9862,31327.181,95569.354,,,429.039,172356.334,57469.224,,91.675,135220.625,407.037,205.352,4660.757,71260.811,5405.158,7389.005,,,154.014,443.707,3516.653,143456.707,491.378,8184.744,3.667,88.008,113.677,389970.782,935124.7568,41481.104,,25955.026,988014.478,3560.657,975.422,3369.973,1624.481,36479.316,29.336,66.006,1906.84,29482.68,22911.416,,55.005,1925.175,,,194.351,29.336,55078.34,6417.25,31906.567,1160766.995,1399948.247,2434009.167,,,6090.887,26123.708,,,173152.073,,1738.158,4142868.585,101585.3186,46680.91,671.061,499071.366,300.694,,5452.829,617607.141,,2937.267,77.007,839.743,62.339,102.676,51.338,36218.959,36.67,557.384,3069.279,,1554.808,10363787.63,10678.304,1558.475,52134.1911,,473.043,74102.736,4617276.445,4887969.75,271047.8389,194310.8957
1975,2126.86,4415.068,4594.751,,307638.8786,31070.491,94931.296,,,707.731,175883.988,54392.611,,77.007,122100.099,443.707,220.02,4869.776,73061.308,5753.523,8254.417,,,176.016,458.375,4059.369,151164.741,568.385,7080.977,3.667,187.017,102.676,397143.434,997763.9019,39097.554,,23014.092,1145607.47,3989.696,1162.439,3237.961,1100.1,35896.263,33.003,77.007,2038.852,31583.871,27066.127,,55.005,1980.18,,,198.018,29.336,55778.737,6340.243,32031.245,1328935.835,1430968.187,2570142.392,,,7363.336,31099.827,,,181644.845,,1210.11,4065317.555,104125.3313,46101.524,623.39,446919.292,348.365,,5368.488,603643.205,,2746.583,88.008,843.41,99.009,113.677,62.339,38873.867,47.671,506.046,3523.987,,1826.166,10030912.65,11019.335,1668.485,52041.26027,,484.044,75389.853,4996029.719,5248134.427,251264.9897,168956.4029
1976,1987.514,3285.632,4950.45,,373316.7378,39651.271,99786.404,,,403.37,174244.839,58415.31,,88.008,130009.818,260.357,209.019,5570.173,73116.313,6574.931,6464.921,,,176.016,469.376,4580.083,155154.437,531.715,6024.881,3.667,594.054,128.345,399317.965,1056884.293,40483.68,,24103.191,1196193.735,3964.027,1092.766,3413.977,1235.779,38089.129,40.337,73.34,2086.523,34766.827,27223.808,,66.006,2464.224,,,198.018,29.336,60135.133,6332.909,39170.894,1392354.62,1555575.996,2701949.694,,,8111.404,34495.469,,,198443.372,,1177.107,4331569.684,132167.982,51279.328,484.044,505602.293,330.03,,5709.519,598912.775,,2434.888,77.007,887.414,99.009,95.342,62.339,42911.234,47.671,220.02,3311.301,,1752.826,10576587.7,12508.137,1778.495,50688.18751,,674.728,80013.94,5309829.229,5580413.173,269770.7904,187116.4246
1977,2390.884,3534.988,5720.52,,395094.4035,38785.859,100791.162,,,465.709,187787.07,56218.777,,99.009,126570.172,297.027,249.356,5812.195,75969.239,7469.679,9717.55,,,198.018,454.708,4481.074,162961.48,590.387,6395.248,7.334,781.071,128.345,408151.768,1100015.682,41085.068,,23109.434,1310310.775,4055.702,1565.809,3487.317,480.377,39354.244,40.337,80.674,2614.571,38606.176,29402.006,,69.673,2669.576,,,198.018,25.669,61847.622,5614.177,41891.808,1535491.688,1666901.659,2903579.162,,,7484.347,37865.442,,,195663.786,,1048.762,4315907.794,129282.4669,50219.565,766.403,480857.377,407.037,,6314.574,604746.972,,3003.273,77.007,902.082,113.677,102.676,62.339,46999.939,47.671,722.399,3813.68,,1899.506,10800047.24,14231.627,2002.182,52498.47992,,707.731,83204.23,5664560.552,5936382.23,270449.2224,180396.6817
1978,2159.863,5412.492,6494.257,,425706.4054,44814.407,102639.33,,,491.378,202015.03,57483.892,,102.676,135855.016,363.033,348.365,6017.547,81411.067,7766.706,6607.934,,,216.353,425.372,5027.457,176925.416,630.724,9541.534,11.001,832.409,146.68,415896.472,1156662.283,42218.171,,22948.086,1462168.579,4818.438,2002.182,3538.655,322.696,41682.789,29.336,209.019,2922.599,37091.705,30689.123,,91.675,2808.922,,,201.685,25.669,61117.889,5449.162,62529.684,1706619.674,1749878.457,3081138.28,,,10425.281,39313.907,,,200493.225,,1371.458,4457560.888,129889.9438,51913.719,711.398,505858.983,399.703,,7561.354,605084.336,,2970.27,69.673,902.082,139.346,102.676,69.673,48081.704,51.338,392.369,4129.042,,2057.187,11080383.3,15753.432,2049.853,54639.60605,,755.402,88187.683,6097364.596,6374719.397,275420.5897,182282.2215
1979,2240.537,5504.167,7587.023,,455940.5266,36607.661,110703.063,,,407.037,205069.641,61594.599,,110.01,140233.414,366.7,407.037,6648.271,79152.195,8133.406,6930.63,,,209.019,462.042,4737.764,188322.452,601.388,7440.343,22.002,942.419,102.676,442067.851,1168855.297,39911.628,,24862.26,1494859.884,5423.493,1829.833,3755.008,348.365,44433.039,22.002,249.356,2794.254,37524.411,31712.216,,91.675,3003.273,,,363.033,33.003,62999.06,6809.619,45621.147,1749063.882,1848615.759,3203041.886,,,12167.106,42947.904,,,203745.854,,1848.168,4647643.766,156835.3394,54333.939,839.743,529155.434,480.377,,6754.614,644893.288,,2658.575,91.675,946.086,146.68,110.01,62.339,51293.996,47.671,572.052,4693.76,,1521.805,11379639.93,15885.444,1932.509,55505.72132,,755.402,86229.505,6315120.513,6644716.981,328862.7882,227287.7835
1980,1760.16,5346.486,5170.47,,508535.6439,36904.688,108737.551,,,143.013,220746.066,52306.088,,146.68,135301.299,517.047,432.706,7638.361,77487.377,7887.717,7990.393,,,190.684,436.373,4668.091,187090.34,674.728,6882.959,22.002,986.423,106.343,443233.957,1200252.176,40538.685,,25265.63,1467192.369,6222.899,3905.355,3501.985,407.037,44356.032,47.671,121.011,2464.224,38837.197,31400.521,,161.348,3208.625,,,348.365,36.67,60369.821,6457.587,66519.38,1725480.044,1938021.641,3193797.449,,,13443.222,45239.779,,,215003.544,,1822.499,4518359.15,149735.4536,58246.628,795.739,505363.938,421.705,,6633.603,579290.658,,2559.566,88.008,964.421,157.681,146.68,58.672,51429.675,47.671,564.718,4510.41,,1789.496,11141826.99,16662.848,2057.187,60007.29033,,751.735,86860.229,6369193.388,6710905.938,341251.2987,237457.6632
1981,1983.847,5280.48,7341.334,,497257.9241,36857.017,102041.609,,,106.343,230360.94,56130.769,,157.681,124021.607,429.039,557.384,7931.721,80343.97,8525.775,2801.588,,,183.35,388.702,4792.769,171806.284,685.729,1470.467,25.669,1008.425,135.679,430003.421,1127030.113,38859.199,,24554.232,1451501.276,4466.406,5342.819,3777.01,473.043,44458.708,47.671,33.003,2251.538,32566.627,32749.977,,154.014,3047.277,,,300.694,36.67,51789.041,6167.894,46438.888,1714592.619,2012198.92,3161341.919,,,16692.184,50978.634,,,207288.176,,1866.503,4266013.116,142172.3666,51510.349,1081.765,454700.666,440.04,,6574.931,560819.979,,3047.277,51.338,990.09,157.681,143.013,69.673,50721.944,58.672,528.048,3967.694,,1800.497,10691246.78,18690.699,1822.499,58906.9894,,766.403,86618.207,6312318.781,6663220.885,350812.059,240787.4463
1982,2101.191,4649.756,7308.331,,476720.2939,36871.685,103424.068,,,293.36,234119.615,53868.23,,157.681,117553.019,491.378,575.719,8599.115,90131.193,9838.561,2262.539,,,172.349,396.036,4349.062,172176.651,645.392,2093.857,33.003,1100.1,143.013,414811.04,1155830.578,36629.663,,20615.874,1580260.647,6109.222,6343.91,3072.946,1345.789,45914.507,47.671,36.67,2086.523,31620.541,34554.141,,161.348,3102.282,,,348.365,40.337,53695.881,6340.243,39269.903,1851104.178,2102818.927,3279927.01,,,19288.42,56523.138,,,209906.414,,1481.468,4171917.105,142768.4533,43083.583,839.743,436893.714,458.375,,6556.596,548520.861,,3043.61,22.002,982.756,161.348,143.013,73.34,52148.407,62.339,517.047,3626.663,,1404.461,10290339.73,19702.791,1763.827,60208.0209,,825.075,86871.23,6677102.077,7031760.198,354067.3924,244377.9955
1983,2522.896,5115.465,7631.027,,508407.2378,35342.546,105213.564,,,84.341,225003.453,51983.392,,205.352,101630.905,454.708,594.054,8236.082,90365.881,8228.748,2016.85,,,172.349,451.041,4290.39,166632.147,685.729,2706.246,29.336,1030.427,146.68,408687.15,1166616.091,40069.309,,20839.561,1667029.201,4840.44,6589.599,4026.366,1144.104,49449.495,47.671,36.67,2104.858,28639.27,30843.137,,168.682,3098.615,,,348.365,40.337,50175.561,7913.386,52625.117,1952649.422,2158703.384,3379308.412,,,19556.111,57091.523,,,204867.956,,1844.501,4111986.351,157757.9449,41576.446,715.065,422603.415,487.711,,5518.835,545741.275,,3655.999,36.67,953.42,161.348,143.013,62.339,55544.049,62.339,363.033,3179.289,,1246.78,10265166.96,21015.577,2002.182,60598.33036,,894.748,89137.436,6911071.567,7271048.94,359152.7819,242693.045
1984,2830.924,5009.122,7825.378,,554637.0839,46394.884,106522.683,,,146.68,236594.84,54550.292,,220.02,105422.583,502.379,465.709,9123.496,87366.275,9207.837,1855.502,,,172.349,443.707,4041.034,168806.678,748.068,1917.841,51.338,1045.095,150.347,425595.687,1165133.949,39174.561,,22200.018,1814908.31,5405.158,6057.884,3964.027,1140.437,48980.119,47.671,84.341,2002.182,28899.627,32603.297,,183.35,3182.956,,,352.032,44.004,50861.29,7444.01,71103.13,2104261.932,2234946.605,3613904.521,,,21257.599,63838.803,,,198953.085,,1664.818,4084428.697,163513.7882,42254.841,583.053,405342.846,498.712,,5995.545,529335.117,,2581.568,33.003,979.089,172.349,161.348,80.674,57054.853,62.339,568.385,3421.311,,1404.461,10541259.73,22346.698,1987.514,58728.56222,,913.083,90853.592,7235519.869,7621925.687,385828.2722,261421.4033
1985,3509.319,4701.094,7880.383,,586804.6333,49926.205,100596.811,,,249.356,241229.928,54700.639,,231.021,104472.83,744.401,476.71,10234.597,89540.806,10194.26,1510.804,,,190.684,451.041,4125.375,181248.809,847.077,2596.236,62.339,1158.772,161.348,422079.034,1186219.813,39827.287,,21503.288,1966553.428,7326.666,6475.922,3641.331,1279.783,48378.731,47.671,84.341,2266.206,31972.573,32577.628,,190.684,3102.282,,,359.366,47.671,60072.794,7293.663,72786.283,2275308.03,2354466.65,3782659.942,,,19431.433,63937.812,,,201233.959,,1815.165,4189511.407,173442.2382,49665.848,579.386,400880.107,517.047,,6318.241,559855.558,,3325.969,44.004,993.757,172.349,172.349,66.006,60600.842,62.339,509.713,3523.987,,1419.129,10659928.41,23014.092,1906.84,62553.59485,,942.419,86104.827,7670506.722,8072921.672,401586.1383,275295.4994
1986,3142.619,4660.757,8056.399,,648157.043,47234.627,104212.473,,,249.356,239964.813,54080.916,,234.688,102874.018,685.729,480.377,11463.042,91528.32,11012.001,1411.795,,,205.352,421.705,3777.01,198883.412,916.75,2299.209,55.005,1067.097,161.348,405053.153,1207582.912,42295.178,,22247.689,2068969.071,5966.209,1994.848,3377.307,1067.097,49101.13,44.004,58.672,2607.237,27894.869,33567.718,,201.685,3545.989,,,377.701,47.671,58903.021,8181.077,76277.267,2388444.194,2473250.512,3913007.986,,,15276.722,74564.778,,,190467.647,,2214.868,4179574.029,181263.5028,53329.181,605.055,385614.386,491.378,,4968.785,568777.369,,3047.277,40.337,997.424,161.348,183.35,80.674,59130.375,66.006,326.363,3700.003,,1045.095,10697031.59,25698.336,1848.168,55293.83904,,843.41,83537.927,7996181.819,8407514.098,410223.3189,284489.1776
1987,3124.284,5815.862,7444.01,,649426.4285,47693.002,114942.115,,,275.025,256106.947,57744.249,,249.356,103116.04,539.049,517.047,11862.745,91634.663,11430.039,1422.796,,,227.354,572.052,4030.033,207530.198,942.419,3318.635,102.676,1239.446,260.357,431349.21,1241032.397,40252.659,,22673.061,2209708.531,7682.365,1844.501,3854.017,1323.787,50487.256,47.671,80.674,2757.584,29240.658,33952.753,,216.353,4121.708,,,388.702,47.671,58341.97,9754.22,84120.98,2546786.436,2573525.706,4093944.878,,,15115.374,74810.467,,,190878.351,,2581.568,4258989.941,193302.9349,57656.241,476.71,377491.981,498.712,,4022.699,571868.65,,3285.632,47.671,993.757,179.683,194.351,99.009,63472.103,73.34,234.688,3993.363,,1309.119,10991289.14,28272.57,2174.531,61393.81819,,913.083,84436.342,8432721.506,8850849.477,416488.838,274025.1003
1988,2867.594,5130.133,7326.666,,688300.4424,48367.73,121473.042,,,286.026,261145.405,53340.182,,227.354,100354.789,553.717,553.717,13545.898,87289.268,12163.439,1540.14,,,249.356,645.392,4308.725,209363.698,946.086,5716.853,110.01,1301.785,231.021,456053.789,1198460.81,40711.034,,26926.781,2369501.723,9160.166,2200.2,4019.032,1499.803,52445.434,51.338,73.34,2940.934,27146.801,35635.906,,223.687,4129.042,,,348.365,55.005,55107.676,9834.894,83948.631,2732538.932,2700345.921,4421226.098,,,17271.57,74531.775,,,199033.759,,2673.243,4202996.736,217317.2547,52185.077,553.717,372207.834,528.048,,4334.394,570464.189,,3450.647,69.673,1026.76,183.35,216.353,106.343,67989.847,95.342,546.383,4125.375,,1404.461,11393299.68,29482.68,2504.561,66527.31679,,1023.093,78264.781,8831727.931,9288146.042,455256.3811,306975.2429
